class,path,name,cry_score,baby_cry,crying,whimper,speech,top_class,top_score
hungry,/Users/dilshod/apps/my_baby/backend/v3_cry_model/data/donateacry-corpus/donateacry_corpus_cleaned_and_updated_data/hungry/02c3b725-26e4-4a2c-9336-04ddc58836d9-1430726196216-1.7-m-04-hu.wav,02c3b725-26e4-4a2c-9336-04ddc58836d9-1430726196216-1.7-m-04-hu.wav,0.288436023532995,0.11787303537130356,0.14592762291431427,0.02446453459560871,0.009138182736933231,Silence,0.22091791033744812
hungry,/Users/dilshod/apps/my_baby/backend/v3_cry_model/data/donateacry-corpus/donateacry_corpus_cleaned_and_updated_data/hungry/02ead89b-aa02-453e-8b83-6ebde9fe7551-1430233132879-1.7-m-26-hu.wav,02ead89b-aa02-453e-8b83-6ebde9fe7551-1430233132879-1.7-m-26-hu.wav,0.0559631590731442,0.015858441591262817,0.024165106937289238,0.011171446181833744,0.2881059944629669,Speech,0.2881059944629669
hungry,/Users/dilshod/apps/my_baby/backend/v3_cry_model/data/donateacry-corpus/donateacry_corpus_cleaned_and_updated_data/hungry/035c6b30-a145-42b9-8d0f-445cd9003d2c-1435948197257-1.7-m-04-hu.wav,035c6b30-a145-42b9-8d0f-445cd9003d2c-1435948197257-1.7-m-04-hu.wav,1.9755732658911356,0.8989799618721008,0.9415157437324524,0.13507744669914246,0.013801636174321175,"Crying, sobbing",0.9415157437324524
hungry,/Users/dilshod/apps/my_baby/backend/v3_cry_model/data/donateacry-corpus/donateacry_corpus_cleaned_and_updated_data/hungry/03abcb8f-400a-47d8-ad82-7e4586cc06be-1431864192133-1.7-f-48-hu.wav,03abcb8f-400a-47d8-ad82-7e4586cc06be-1431864192133-1.7-f-48-hu.wav,1.2457786285422117,0.5749850273132324,0.5847139954566956,0.08607058972120285,0.1888931840658188,"Crying, sobbing",0.5847139954566956
hungry,/Users/dilshod/apps/my_baby/backend/v3_cry_model/data/donateacry-corpus/donateacry_corpus_cleaned_and_updated_data/hungry/045C5483-69E1-4BEC-B1D8-9286D174B9B2-1430102996-1.0-m-04-hu.wav,045C5483-69E1-4BEC-B1D8-9286D174B9B2-1430102996-1.0-m-04-hu.wav,0.7210053597809747,0.19705072045326233,0.2988419234752655,0.22379383444786072,0.24219335615634918,"Crying, sobbing",0.2988419234752655
hungry,/Users/dilshod/apps/my_baby/backend/v3_cry_model/data/donateacry-corpus/donateacry_corpus_cleaned_and_updated_data/hungry/04c3386b-e6bc-4bd0-8456-d46ae21a73fc-1435305829013-1.7-f-26-hu.wav,04c3386b-e6bc-4bd0-8456-d46ae21a73fc-1435305829013-1.7-f-26-hu.wav,0.2276948168873787,0.07544080168008804,0.10058576613664627,0.03386717662215233,0.01901930943131447,Silence,0.4424004852771759
hungry,/Users/dilshod/apps/my_baby/backend/v3_cry_model/data/donateacry-corpus/donateacry_corpus_cleaned_and_updated_data/hungry/0776b33b-c41a-4a2e-8b9c-f1c184be00c8-1437123838264-1.7-f-26-hu.wav,0776b33b-c41a-4a2e-8b9c-f1c184be00c8-1437123838264-1.7-f-26-hu.wav,0.3335954882495571,0.13853514194488525,0.172751784324646,0.022090014070272446,0.1544468104839325,"Crying, sobbing",0.172751784324646
hungry,/Users/dilshod/apps/my_baby/backend/v3_cry_model/data/donateacry-corpus/donateacry_corpus_cleaned_and_updated_data/hungry/08E9485B-2772-444B-A636-77E14DD14A8C-1431493441-1.0-m-04-hu.wav,08E9485B-2772-444B-A636-77E14DD14A8C-1431493441-1.0-m-04-hu.wav,0.7695501397120097,0.34314456582069397,0.3960396349430084,0.03033965453505516,0.33100128173828125,"Crying, sobbing",0.3960396349430084
hungry,/Users/dilshod/apps/my_baby/backend/v3_cry_model/data/donateacry-corpus/donateacry_corpus_cleaned_and_updated_data/hungry/08E9485B-2772-444B-A636-77E14DD14A8C-1431493453-1.0-m-04-hu.wav,08E9485B-2772-444B-A636-77E14DD14A8C-1431493453-1.0-m-04-hu.wav,0.17035756817494985,0.06908652931451797,0.08999228477478027,0.011206872761249542,0.5239874720573425,Speech,0.5239874720573425
hungry,/Users/dilshod/apps/my_baby/backend/v3_cry_model/data/donateacry-corpus/donateacry_corpus_cleaned_and_updated_data/hungry/090C15A8-5406-4EA5-97A3-81F6527227C0-1430147515-1.0-m-72-hu.wav,090C15A8-5406-4EA5-97A3-81F6527227C0-1430147515-1.0-m-72-hu.wav,0.5899732267425861,0.217105895280838,0.27561065554618835,0.09682437032461166,0.3123682141304016,Speech,0.3123682141304016
hungry,/Users/dilshod/apps/my_baby/backend/v3_cry_model/data/donateacry-corpus/donateacry_corpus_cleaned_and_updated_data/hungry/090C15A8-5406-4EA5-97A3-81F6527227C0-1430147525-1.0-m-72-hu.wav,090C15A8-5406-4EA5-97A3-81F6527227C0-1430147525-1.0-m-72-hu.wav,0.474755337840179,0.20090433955192566,0.24327275156974792,0.03009786829352379,0.07908469438552856,"Crying, sobbing",0.24327275156974792
